Attendance_Percentage,Midterm_Marks,Assignment_Score,Study_Hours_Per_Week,Previous_GPA,Final_Result
57,34,46,11,2.33,Pass
49,19,33,13,2.86,Pass
69,76,5,10,3.16,Pass
83,69,49,16,2.3,Pass
89,87,98,37,2.33,Pass
43,5,34,11,3.27,Fail
70,80,44,10,2.09,Fail
78,33,8,30,3.59,Pass
86,32,73,10,2.52,Fail
68,91,97,34,2.41,Pass
64,15,82,24,2.02,Fail
41,49,61,38,2.47,Fail
81,98,57,34,2.01,Pass
41,54,47,2,2.55,Fail
68,27,51,13,2.75,Pass
56,35,76,39,3.86,Pass
83,93,72,24,2.7,Pass
85,35,53,5,2.07,Pass
65,4,91,3,3.99,Pass
96,10,8,37,2.99,Pass
75,24,52,28,3.13,Pass
50,24,9,20,2.81,Fail
49,63,31,5,3.2,Fail
44,56,5,11,3.41,Pass
68,77,20,34,3.26,Fail
56,2,56,35,3.8,Pass
74,6,94,37,2.95,Pass
81,53,68,15,2.2,Pass
40,88,37,15,2.53,Pass
96,63,33,29,3.85,Pass
70,81,97,19,2.82,Pass
54,90,9,4,2.26,Fail
41,92,60,16,3.79,Pass
54,44,93,33,3.16,Fail
41,68,30,15,2.8,Pass
76,22,10,26,2.14,Pass
94,7,24,14,2.68,Pass
98,42,74,20,3.14,Pass
96,31,48,25,3.68,Pass
93,94,85,33,3.81,Pass
40,14,43,7,3.71,Pass
43,48,27,28,2.95,Fail
93,45,37,18,3.12,Fail
47,7,25,3,2.12,Fail
72,94,86,29,2.65,Fail
64,88,53,36,2.74,Pass
93,93,93,33,3.48,Pass
75,89,33,26,2.89,Pass
70,80,40,28,2.94,Pass
84,18,85,28,3,Pass
50,12,44,34,2.45,Fail
69,24,51,29,3.48,Pass
63,26,17,27,2.66,Fail
83,67,99,28,3.87,Pass
79,48,86,25,2.43,Pass
70,29,14,21,2.94,Fail
